Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD43,Bangalore,St Xaviers College,3rd,Robotics,LinkedIn
LD44,Chandigarh,Chandigarh University,1st,Robotics,Mass-Mailing
LD45,Kolkata,Indus University,4th,AI,LinkedIn
LD46,Chandigarh,Nirma University,4th,Robotics,Mass-Mailing
LD47,Mumbai,Gujarat Institute Of Technology,3rd,Data Science,Google Form
LD48,Surat,CPET Academy,1st,Robotics,WhatsApp
LD49,Pune,Chandigarh University,4th,Data Science,College Collaboration
LD50,Hyderabad,Indus University,3rd,Robotics,Google Form
LD51,Pune,Chandigarh University,1st,AI,College Collaboration
LD52,Mumbai,Gujarat Institute Of Technology,1st,Robotics,Instagram
LD53,Surat,Nirma University,1st,Electric Vehicle,Google Form
LD54,Pune,CPET Academy,3rd,Robotics,Mass-Mailing
LD55,Ahmedabad,Gujarat Institute Of Technology,2nd,Data Science,Instagram
LD56,Pune,St Xaviers College,1st,Electric Vehicle,Google Form
LD57,Mumbai,Gujarat Institute Of Technology,4th,Electric Vehicle,WhatsApp
LD58,Pune,St Xaviers College,2nd,Robotics,Mass-Mailing
LD59,Ahmedabad,Indus University,4th,Electric Vehicle,Mass-Mailing
LD60,Surat,CPET Academy,4th,AI,Google Form
LD61,Jaipur,St Xaviers College,4th,Electric Vehicle,College Collaboration
LD62,Hyderabad,Nirma University,2nd,Electric Vehicle,College Collaboration
LD63,Surat,Nirma University,1st,Electric Vehicle,Google Form
LD64,Mumbai,Nirma University,3rd,Robotics,Mass-Mailing
LD65,Bangalore,Indus University,3rd,AI,WhatsApp
LD66,Delhi,St Xaviers College,1st,Robotics,Instagram
LD67,Hyderabad,Nirma University,2nd,Electric Vehicle,Instagram
LD68,Delhi,Indus University,3rd,AI,College Collaboration
LD69,Hyderabad,Indus University,2nd,Robotics,Mass-Mailing
LD70,Surat,CPET Academy,1st,Robotics,WhatsApp
LD71,Mumbai,Indus University,4th,Data Science,Instagram
LD72,Chandigarh,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD73,Jaipur,St Xaviers College,2nd,Robotics,LinkedIn
LD74,Mumbai,St Xaviers College,4th,Robotics,WhatsApp
LD75,Chandigarh,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD76,Kolkata,Nirma University,3rd,Robotics,WhatsApp
LD77,Jaipur,Gujarat Institute Of Technology,1st,Robotics,WhatsApp
LD78,Chandigarh,CPET Academy,2nd,Data Science,College Collaboration
LD79,Ahmedabad,Nirma University,1st,Electric Vehicle,Google Form
LD80,Kolkata,Nirma University,1st,Data Science,WhatsApp
LD81,Jaipur,Gujarat Institute Of Technology,3rd,AI,WhatsApp
LD82,Jaipur,CPET Academy,4th,Electric Vehicle,Mass-Mailing
LD83,Surat,Chandigarh University,3rd,AI,Google Form
LD84,Jaipur,CPET Academy,4th,AI,Google Form
LD85,Jaipur,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD86,Hyderabad,Indus University,1st,Robotics,LinkedIn
LD87,Ahmedabad,Nirma University,2nd,AI,LinkedIn
LD88,Ahmedabad,CPET Academy,1st,Robotics,WhatsApp
LD89,Mumbai,CPET Academy,2nd,Electric Vehicle,Instagram
LD90,Jaipur,St Xaviers College,2nd,Electric Vehicle,Google Form
LD91,Jaipur,Gujarat Institute Of Technology,4th,Electric Vehicle,LinkedIn
LD92,Delhi,Gujarat Institute Of Technology,1st,Data Science,LinkedIn
LD93,Bangalore,Chandigarh University,3rd,Electric Vehicle,Mass-Mailing
LD94,Bangalore,St Xaviers College,1st,AI,LinkedIn
LD95,Bangalore,Chandigarh University,3rd,AI,WhatsApp
LD96,Mumbai,Gujarat Institute Of Technology,4th,Electric Vehicle,LinkedIn
LD97,Kolkata,Indus University,2nd,Data Science,Mass-Mailing
LD98,Mumbai,Chandigarh University,1st,AI,College Collaboration
LD99,Kolkata,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD100,Jaipur,Nirma University,2nd,Robotics,College Collaboration
LD101,Surat,Chandigarh University,1st,Robotics,College Collaboration
LD102,Ahmedabad,Indus University,1st,Data Science,LinkedIn
LD103,Delhi,CPET Academy,1st,Robotics,LinkedIn
LD104,Kolkata,Gujarat Institute Of Technology,3rd,Robotics,WhatsApp
LD105,Jaipur,CPET Academy,3rd,Data Science,Google Form
LD106,Pune,St Xaviers College,3rd,Robotics,WhatsApp
LD107,Mumbai,Indus University,3rd,Electric Vehicle,WhatsApp
LD108,Delhi,Gujarat Institute Of Technology,1st,Robotics,WhatsApp
LD109,Kolkata,Nirma University,2nd,Robotics,Instagram
LD110,Chandigarh,St Xaviers College,3rd,AI,Google Form
LD111,Hyderabad,Gujarat Institute Of Technology,4th,AI,WhatsApp
LD112,Surat,St Xaviers College,2nd,Electric Vehicle,Instagram
LD113,Pune,Gujarat Institute Of Technology,4th,Robotics,LinkedIn
LD114,Chandigarh,Nirma University,4th,Data Science,LinkedIn
LD115,Bangalore,Nirma University,2nd,AI,Google Form
LD116,Kolkata,Indus University,1st,Robotics,Instagram
LD117,Hyderabad,CPET Academy,3rd,Robotics,Instagram
LD118,Kolkata,St Xaviers College,4th,Data Science,Google Form
LD119,Hyderabad,Indus University,1st,Data Science,LinkedIn
LD120,Surat,Indus University,2nd,Data Science,LinkedIn
LD121,Surat,Indus University,1st,AI,Mass-Mailing
LD122,Chandigarh,Indus University,3rd,Electric Vehicle,WhatsApp
LD123,Chandigarh,St Xaviers College,2nd,Electric Vehicle,College Collaboration
LD124,Chandigarh,St Xaviers College,2nd,Robotics,College Collaboration
LD125,Surat,CPET Academy,1st,Robotics,Google Form
LD126,Pune,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD127,Surat,Indus University,2nd,Robotics,LinkedIn
LD128,Surat,Indus University,4th,AI,Mass-Mailing
LD129,Ahmedabad,Chandigarh University,2nd,Data Science,College Collaboration
LD130,Chandigarh,CPET Academy,1st,Data Science,LinkedIn
LD131,Surat,CPET Academy,3rd,Data Science,WhatsApp
LD132,Kolkata,Chandigarh University,1st,Electric Vehicle,WhatsApp
LD133,Mumbai,St Xaviers College,2nd,AI,Mass-Mailing
LD134,Ahmedabad,Indus University,3rd,AI,Mass-Mailing
LD135,Chandigarh,St Xaviers College,2nd,Data Science,Google Form
LD136,Pune,Indus University,4th,AI,College Collaboration
LD137,Hyderabad,St Xaviers College,2nd,Robotics,Instagram
LD138,Kolkata,Gujarat Institute Of Technology,1st,Electric Vehicle,College Collaboration
LD139,Jaipur,Indus University,1st,Robotics,LinkedIn
LD140,Mumbai,Chandigarh University,1st,AI,LinkedIn
LD141,Chandigarh,Chandigarh University,4th,Data Science,Mass-Mailing
LD142,Mumbai,Gujarat Institute Of Technology,2nd,Electric Vehicle,WhatsApp
LD143,Jaipur,CPET Academy,4th,Robotics,LinkedIn
LD144,Bangalore,CPET Academy,4th,Data Science,WhatsApp
LD145,Delhi,Indus University,1st,AI,WhatsApp
LD146,Hyderabad,Nirma University,4th,Data Science,LinkedIn
LD147,Mumbai,Chandigarh University,3rd,Data Science,Instagram
LD148,Bangalore,Nirma University,3rd,Electric Vehicle,Instagram
LD149,Jaipur,St Xaviers College,4th,Electric Vehicle,LinkedIn
LD150,Chandigarh,Chandigarh University,4th,Data Science,Mass-Mailing
LD151,Jaipur,CPET Academy,2nd,Robotics,WhatsApp
LD152,Surat,Chandigarh University,4th,Data Science,Mass-Mailing
LD153,Mumbai,CPET Academy,2nd,Data Science,Google Form
LD154,Kolkata,Gujarat Institute Of Technology,2nd,Electric Vehicle,College Collaboration
LD155,Surat,Chandigarh University,4th,Robotics,Instagram
LD156,Hyderabad,Indus University,1st,Data Science,WhatsApp
LD157,Mumbai,Nirma University,4th,Robotics,Google Form
LD158,Kolkata,Indus University,2nd,Electric Vehicle,LinkedIn
LD159,Bangalore,St Xaviers College,1st,Robotics,Google Form
LD160,Delhi,CPET Academy,4th,Electric Vehicle,Instagram
LD161,Chandigarh,CPET Academy,4th,Robotics,LinkedIn
LD162,Surat,Indus University,1st,Data Science,College Collaboration
LD163,Kolkata,St Xaviers College,1st,Data Science,WhatsApp
LD164,Ahmedabad,St Xaviers College,3rd,AI,College Collaboration
LD165,Surat,Indus University,4th,Electric Vehicle,WhatsApp
LD166,Jaipur,St Xaviers College,4th,AI,LinkedIn
LD167,Mumbai,Chandigarh University,4th,Data Science,LinkedIn
LD168,Bangalore,Chandigarh University,1st,Electric Vehicle,College Collaboration
LD169,Delhi,CPET Academy,1st,Electric Vehicle,Mass-Mailing
LD170,Kolkata,Indus University,3rd,Robotics,WhatsApp
LD171,Chandigarh,Indus University,4th,AI,Google Form
LD172,Ahmedabad,St Xaviers College,3rd,Electric Vehicle,College Collaboration
LD173,Delhi,St Xaviers College,1st,Electric Vehicle,Google Form
LD174,Mumbai,Chandigarh University,3rd,Electric Vehicle,College Collaboration
LD175,Mumbai,Chandigarh University,1st,Robotics,College Collaboration
LD176,Chandigarh,Indus University,3rd,Electric Vehicle,Instagram
LD177,Kolkata,Indus University,2nd,Data Science,College Collaboration
LD178,Bangalore,St Xaviers College,1st,AI,Mass-Mailing
LD179,Jaipur,Nirma University,1st,Electric Vehicle,College Collaboration
LD180,Chandigarh,Chandigarh University,1st,Robotics,WhatsApp
LD181,Hyderabad,Indus University,2nd,AI,College Collaboration
LD182,Ahmedabad,Chandigarh University,1st,Robotics,Google Form
LD183,Surat,CPET Academy,3rd,Electric Vehicle,Mass-Mailing
LD184,Delhi,CPET Academy,1st,Data Science,Instagram
LD185,Kolkata,Indus University,4th,AI,WhatsApp
LD186,Chandigarh,St Xaviers College,3rd,AI,WhatsApp
LD187,Hyderabad,St Xaviers College,3rd,Data Science,College Collaboration
LD188,Hyderabad,St Xaviers College,1st,AI,Google Form
LD189,Surat,CPET Academy,3rd,Robotics,Mass-Mailing
LD190,Hyderabad,CPET Academy,1st,Robotics,Google Form
LD191,Ahmedabad,CPET Academy,3rd,AI,College Collaboration
LD192,Pune,Nirma University,3rd,AI,WhatsApp
LD193,Kolkata,Indus University,4th,Robotics,WhatsApp
LD194,Delhi,Gujarat Institute Of Technology,1st,AI,Google Form
LD195,Kolkata,Indus University,1st,Data Science,College Collaboration
LD196,Ahmedabad,Chandigarh University,2nd,Robotics,Google Form
LD197,Jaipur,St Xaviers College,2nd,Data Science,LinkedIn
LD198,Pune,Chandigarh University,3rd,Robotics,Mass-Mailing
LD199,Hyderabad,Gujarat Institute Of Technology,2nd,Electric Vehicle,Google Form
LD200,Kolkata,CPET Academy,1st,Robotics,College Collaboration
LD201,Pune,Gujarat Institute Of Technology,2nd,Electric Vehicle,College Collaboration
LD202,Ahmedabad,Indus University,3rd,Electric Vehicle,Google Form
LD203,Surat,Nirma University,3rd,Data Science,LinkedIn
LD204,Surat,Chandigarh University,4th,Electric Vehicle,WhatsApp
LD205,Delhi,Chandigarh University,2nd,Data Science,Instagram
LD206,Pune,CPET Academy,4th,Robotics,WhatsApp
LD207,Mumbai,St Xaviers College,3rd,AI,WhatsApp
LD208,Kolkata,Nirma University,2nd,Data Science,WhatsApp
LD209,Hyderabad,Indus University,3rd,AI,College Collaboration
LD210,Delhi,Indus University,1st,AI,Mass-Mailing
LD211,Kolkata,Nirma University,1st,Robotics,College Collaboration
LD212,Pune,Nirma University,3rd,Electric Vehicle,College Collaboration
LD213,Surat,Indus University,4th,Electric Vehicle,Google Form
LD214,Chandigarh,Gujarat Institute Of Technology,4th,Electric Vehicle,Mass-Mailing
LD215,Surat,St Xaviers College,4th,Electric Vehicle,College Collaboration
LD216,Mumbai,Chandigarh University,3rd,Electric Vehicle,Mass-Mailing
LD217,Surat,CPET Academy,1st,Electric Vehicle,Instagram
LD218,Kolkata,Indus University,3rd,Electric Vehicle,College Collaboration
LD219,Ahmedabad,St Xaviers College,3rd,Data Science,WhatsApp
LD220,Mumbai,Chandigarh University,3rd,Data Science,LinkedIn
LD221,Mumbai,Indus University,4th,Electric Vehicle,Google Form
LD222,Surat,Chandigarh University,3rd,Robotics,Mass-Mailing
LD223,Kolkata,Gujarat Institute Of Technology,2nd,AI,Instagram
LD224,Pune,St Xaviers College,4th,Robotics,WhatsApp
LD225,Jaipur,Nirma University,3rd,AI,LinkedIn
LD226,Pune,Chandigarh University,1st,Electric Vehicle,Mass-Mailing
LD227,Delhi,St Xaviers College,4th,AI,WhatsApp
LD228,Mumbai,Indus University,4th,Electric Vehicle,Instagram
LD229,Jaipur,Nirma University,3rd,Data Science,College Collaboration
LD230,Hyderabad,Nirma University,4th,Robotics,LinkedIn
LD231,Ahmedabad,CPET Academy,2nd,Robotics,Mass-Mailing
LD232,Chandigarh,Gujarat Institute Of Technology,3rd,AI,LinkedIn
LD233,Kolkata,Gujarat Institute Of Technology,1st,Data Science,College Collaboration
LD234,Delhi,St Xaviers College,2nd,Electric Vehicle,Mass-Mailing
LD235,Chandigarh,Gujarat Institute Of Technology,1st,AI,College Collaboration
LD236,Kolkata,Indus University,3rd,Robotics,College Collaboration
LD237,Pune,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD238,Delhi,St Xaviers College,1st,Robotics,Instagram
LD239,Hyderabad,Chandigarh University,1st,AI,WhatsApp
LD240,Bangalore,Gujarat Institute Of Technology,4th,AI,Mass-Mailing
LD241,Chandigarh,Gujarat Institute Of Technology,2nd,Electric Vehicle,Google Form
LD242,Kolkata,CPET Academy,3rd,Data Science,Google Form
LD243,Pune,Chandigarh University,1st,Robotics,College Collaboration
LD244,Chandigarh,Chandigarh University,3rd,Robotics,Google Form
LD245,Jaipur,CPET Academy,2nd,Electric Vehicle,Instagram
LD246,Delhi,St Xaviers College,3rd,Data Science,Google Form
LD247,Delhi,Chandigarh University,3rd,Data Science,College Collaboration
LD248,Mumbai,CPET Academy,2nd,Data Science,Mass-Mailing
LD249,Chandigarh,Nirma University,4th,AI,LinkedIn
LD250,Jaipur,Gujarat Institute Of Technology,3rd,Data Science,Mass-Mailing
LD251,Delhi,Nirma University,4th,Electric Vehicle,LinkedIn
LD252,Delhi,St Xaviers College,4th,Electric Vehicle,Mass-Mailing
LD253,Kolkata,Chandigarh University,2nd,Data Science,Google Form
LD254,Bangalore,CPET Academy,3rd,AI,WhatsApp
LD255,Kolkata,Chandigarh University,1st,Robotics,LinkedIn
LD256,Mumbai,Chandigarh University,4th,Data Science,Instagram
LD257,Surat,Chandigarh University,2nd,AI,LinkedIn
LD258,Bangalore,CPET Academy,4th,AI,College Collaboration
LD259,Kolkata,Nirma University,2nd,Data Science,LinkedIn
LD260,Delhi,Nirma University,2nd,Data Science,Google Form
LD261,Pune,Nirma University,2nd,Data Science,LinkedIn
LD262,Hyderabad,Chandigarh University,3rd,Data Science,Mass-Mailing
LD263,Pune,Nirma University,4th,Electric Vehicle,Google Form
LD264,Hyderabad,St Xaviers College,3rd,Robotics,College Collaboration
LD265,Kolkata,St Xaviers College,4th,Electric Vehicle,Google Form
LD266,Chandigarh,Nirma University,3rd,Electric Vehicle,WhatsApp
LD267,Jaipur,Gujarat Institute Of Technology,2nd,AI,WhatsApp
LD268,Pune,St Xaviers College,2nd,AI,LinkedIn
LD269,Kolkata,Gujarat Institute Of Technology,2nd,Electric Vehicle,Instagram
LD270,Bangalore,CPET Academy,4th,AI,College Collaboration
LD271,Ahmedabad,Nirma University,4th,Robotics,Mass-Mailing
LD272,Chandigarh,Gujarat Institute Of Technology,1st,Robotics,Google Form
LD273,Mumbai,CPET Academy,4th,AI,Google Form
LD274,Kolkata,Gujarat Institute Of Technology,2nd,Robotics,LinkedIn
LD275,Bangalore,Gujarat Institute Of Technology,2nd,Data Science,WhatsApp
LD276,Hyderabad,Nirma University,1st,Electric Vehicle,LinkedIn
LD277,Bangalore,CPET Academy,1st,Robotics,College Collaboration
LD278,Bangalore,Nirma University,4th,Robotics,College Collaboration
LD279,Surat,Indus University,1st,AI,College Collaboration
LD280,Delhi,Chandigarh University,1st,Data Science,Instagram
LD281,Hyderabad,St Xaviers College,3rd,Electric Vehicle,Mass-Mailing
LD282,Bangalore,Nirma University,1st,Electric Vehicle,Mass-Mailing
LD283,Ahmedabad,Gujarat Institute Of Technology,4th,Electric Vehicle,WhatsApp
LD284,Chandigarh,Indus University,1st,Robotics,Mass-Mailing
LD285,Mumbai,Nirma University,4th,Data Science,LinkedIn
LD286,Mumbai,Indus University,1st,Electric Vehicle,Mass-Mailing
LD287,Delhi,CPET Academy,1st,Electric Vehicle,Google Form
LD288,Ahmedabad,CPET Academy,1st,Electric Vehicle,Instagram
LD289,Surat,Nirma University,1st,Robotics,Mass-Mailing
LD290,Hyderabad,CPET Academy,1st,Data Science,WhatsApp
LD291,Surat,St Xaviers College,2nd,Electric Vehicle,Mass-Mailing
LD292,Hyderabad,CPET Academy,4th,Electric Vehicle,Instagram
LD293,Kolkata,CPET Academy,3rd,Data Science,Google Form
LD294,Kolkata,Chandigarh University,2nd,Robotics,Google Form
LD295,Jaipur,Gujarat Institute Of Technology,4th,AI,Mass-Mailing
LD296,Mumbai,St Xaviers College,3rd,Robotics,Google Form
LD297,Delhi,Chandigarh University,4th,Robotics,WhatsApp
LD298,Hyderabad,St Xaviers College,1st,Robotics,Mass-Mailing
LD299,Delhi,St Xaviers College,4th,AI,Google Form
LD300,Delhi,Indus University,1st,Robotics,Mass-Mailing
LD301,Pune,Indus University,4th,Electric Vehicle,WhatsApp
LD302,Bangalore,CPET Academy,3rd,Robotics,Instagram
LD303,Pune,CPET Academy,4th,Electric Vehicle,College Collaboration
LD304,Hyderabad,St Xaviers College,3rd,Electric Vehicle,LinkedIn
LD305,Delhi,Nirma University,2nd,Data Science,Instagram
LD306,Pune,Chandigarh University,2nd,AI,Google Form
LD307,Delhi,Nirma University,1st,Robotics,Mass-Mailing
LD308,Surat,St Xaviers College,4th,Data Science,College Collaboration
LD309,Ahmedabad,CPET Academy,4th,AI,Mass-Mailing
LD310,Kolkata,Chandigarh University,3rd,Data Science,LinkedIn
LD311,Ahmedabad,Gujarat Institute Of Technology,1st,AI,College Collaboration
LD312,Bangalore,Chandigarh University,3rd,AI,Instagram
LD313,Mumbai,Indus University,1st,Electric Vehicle,Mass-Mailing
LD314,Jaipur,CPET Academy,4th,AI,College Collaboration
LD315,Surat,Indus University,1st,Data Science,College Collaboration
LD316,Jaipur,Gujarat Institute Of Technology,4th,Robotics,LinkedIn
LD317,Hyderabad,Gujarat Institute Of Technology,2nd,Electric Vehicle,Mass-Mailing
LD318,Hyderabad,Nirma University,3rd,Electric Vehicle,WhatsApp
LD319,Chandigarh,Indus University,4th,Data Science,Instagram
LD320,Bangalore,Chandigarh University,4th,Robotics,WhatsApp
LD321,Mumbai,Nirma University,1st,Electric Vehicle,LinkedIn
LD322,Chandigarh,Chandigarh University,3rd,Electric Vehicle,Google Form
LD323,Hyderabad,Nirma University,4th,Data Science,LinkedIn
LD324,Jaipur,CPET Academy,3rd,Electric Vehicle,LinkedIn
LD325,Chandigarh,St Xaviers College,3rd,Electric Vehicle,Mass-Mailing
LD326,Hyderabad,St Xaviers College,4th,Robotics,College Collaboration
LD327,Chandigarh,Indus University,1st,Electric Vehicle,Instagram
LD328,Chandigarh,Nirma University,3rd,Data Science,WhatsApp
LD329,Kolkata,Gujarat Institute Of Technology,1st,Robotics,Instagram
LD330,Pune,Nirma University,1st,Data Science,WhatsApp
LD331,Jaipur,Indus University,1st,Electric Vehicle,College Collaboration
LD332,Kolkata,Gujarat Institute Of Technology,3rd,Data Science,LinkedIn
LD333,Ahmedabad,St Xaviers College,3rd,Data Science,Mass-Mailing
LD334,Mumbai,Gujarat Institute Of Technology,3rd,Electric Vehicle,WhatsApp
LD335,Delhi,Indus University,3rd,Electric Vehicle,Google Form
LD336,Jaipur,CPET Academy,3rd,AI,College Collaboration
LD337,Hyderabad,CPET Academy,1st,Data Science,Instagram
LD338,Jaipur,St Xaviers College,4th,AI,College Collaboration
LD339,Delhi,St Xaviers College,1st,Data Science,Google Form
LD340,Bangalore,St Xaviers College,1st,Data Science,LinkedIn
LD341,Delhi,Chandigarh University,3rd,Robotics,Instagram
LD342,Kolkata,Chandigarh University,4th,AI,Instagram
LD343,Pune,Nirma University,2nd,AI,Instagram
LD344,Hyderabad,Chandigarh University,4th,Robotics,College Collaboration
LD345,Ahmedabad,Chandigarh University,2nd,Electric Vehicle,Instagram
LD346,Hyderabad,CPET Academy,3rd,AI,WhatsApp
LD347,Delhi,Nirma University,4th,Data Science,Instagram
LD348,Jaipur,Nirma University,2nd,Robotics,WhatsApp
LD349,Hyderabad,St Xaviers College,1st,Data Science,Mass-Mailing
LD350,Ahmedabad,Indus University,4th,Robotics,Instagram
LD351,Pune,Gujarat Institute Of Technology,2nd,Electric Vehicle,Google Form
LD352,Delhi,Gujarat Institute Of Technology,2nd,AI,College Collaboration
LD353,Jaipur,Gujarat Institute Of Technology,2nd,Data Science,College Collaboration
LD354,Hyderabad,Chandigarh University,3rd,Robotics,Instagram
LD355,Surat,CPET Academy,3rd,AI,WhatsApp
LD356,Ahmedabad,Nirma University,4th,Data Science,WhatsApp
LD357,Jaipur,Indus University,2nd,Robotics,Google Form
LD358,Hyderabad,Nirma University,2nd,AI,Mass-Mailing
LD359,Hyderabad,Indus University,4th,Robotics,Google Form
LD360,Hyderabad,St Xaviers College,2nd,AI,LinkedIn
LD361,Hyderabad,Nirma University,2nd,Robotics,LinkedIn
LD362,Surat,Chandigarh University,3rd,AI,Instagram
LD363,Kolkata,Indus University,2nd,Robotics,LinkedIn
LD364,Pune,Chandigarh University,3rd,AI,LinkedIn
LD365,Bangalore,Indus University,2nd,Data Science,LinkedIn
LD366,Chandigarh,Gujarat Institute Of Technology,4th,Electric Vehicle,WhatsApp
LD367,Bangalore,Nirma University,3rd,Robotics,LinkedIn
LD368,Jaipur,CPET Academy,1st,AI,LinkedIn
LD369,Hyderabad,Gujarat Institute Of Technology,4th,Electric Vehicle,Google Form
LD370,Kolkata,CPET Academy,1st,Robotics,Mass-Mailing
LD371,Ahmedabad,Indus University,2nd,Robotics,College Collaboration
LD372,Bangalore,Chandigarh University,2nd,Robotics,Mass-Mailing
LD373,Kolkata,Chandigarh University,3rd,Electric Vehicle,LinkedIn
LD374,Surat,CPET Academy,3rd,Data Science,Mass-Mailing
LD375,Pune,Gujarat Institute Of Technology,3rd,Electric Vehicle,College Collaboration
LD376,Kolkata,Chandigarh University,3rd,Data Science,Instagram
LD377,Hyderabad,Gujarat Institute Of Technology,4th,Data Science,Instagram
LD378,Delhi,St Xaviers College,4th,Electric Vehicle,College Collaboration
LD379,Kolkata,CPET Academy,2nd,Electric Vehicle,WhatsApp
LD380,Pune,Chandigarh University,4th,Data Science,Mass-Mailing
LD381,Surat,Chandigarh University,2nd,Electric Vehicle,LinkedIn
LD382,Surat,Gujarat Institute Of Technology,3rd,Electric Vehicle,LinkedIn
LD383,Mumbai,CPET Academy,1st,Robotics,Instagram
LD384,Ahmedabad,Indus University,4th,Robotics,WhatsApp
LD385,Bangalore,St Xaviers College,4th,Robotics,Instagram
LD386,Chandigarh,Indus University,3rd,Robotics,Mass-Mailing
LD387,Bangalore,St Xaviers College,2nd,Data Science,LinkedIn
LD388,Kolkata,Nirma University,2nd,Robotics,Instagram
LD389,Chandigarh,St Xaviers College,2nd,AI,Google Form
LD390,Jaipur,CPET Academy,1st,Electric Vehicle,College Collaboration
LD391,Kolkata,Indus University,2nd,Electric Vehicle,WhatsApp
LD392,Pune,Indus University,1st,Data Science,Instagram
LD393,Kolkata,Nirma University,1st,Robotics,LinkedIn
LD394,Kolkata,St Xaviers College,3rd,Electric Vehicle,Google Form
LD395,Surat,St Xaviers College,4th,Robotics,Instagram
LD396,Delhi,Indus University,1st,Robotics,College Collaboration
LD397,Pune,CPET Academy,3rd,Data Science,WhatsApp
LD398,Pune,Nirma University,3rd,Robotics,Instagram
LD399,Surat,Indus University,1st,AI,WhatsApp
LD400,Surat,Chandigarh University,2nd,Electric Vehicle,Mass-Mailing
LD401,Jaipur,CPET Academy,4th,AI,Mass-Mailing
LD402,Chandigarh,Gujarat Institute Of Technology,4th,Robotics,LinkedIn
LD403,Hyderabad,Chandigarh University,3rd,Data Science,WhatsApp
LD404,Kolkata,Indus University,4th,Electric Vehicle,Google Form
LD405,Jaipur,Chandigarh University,1st,AI,Google Form
LD406,Jaipur,Nirma University,2nd,Data Science,WhatsApp
LD407,Pune,Chandigarh University,2nd,Data Science,Mass-Mailing
LD408,Delhi,Nirma University,2nd,Data Science,LinkedIn
LD409,Surat,Indus University,4th,Electric Vehicle,Google Form
LD410,Chandigarh,Nirma University,2nd,Electric Vehicle,College Collaboration
LD411,Chandigarh,Chandigarh University,1st,AI,College Collaboration
LD412,Surat,Nirma University,4th,AI,Instagram
